Timestamp,CAM OPERATOR BADGE#,SCAN CASE NUMBER,DEFECT CATEGORY,DEFECT DESCRIPTION,LOCATION WHEN DAMAGED WAS NOTICED
3/26/2020 5:37:52,abevell,ROLO101520010917,LOST / MISSING,not in oven,IN CAM
3/26/2020 7:40:05,abevell,ROLO101520005758,OTHER,7-8 broke 2 greenstate,IN CAM
3/26/2020 9:51:14,abevell,ROLO101520010481,OTHER,redesign,POST CAM
3/26/2020 10:11:22,abevell,ROLO101520009404,MILLING / NESTING ERROR,hole didn't mill(wrong template),POST CAM
3/27/2020 6:18:43,TSCHAFFER,ROLO101520010940,MARGIN ISSUE,CHIPPED,POST CAM
3/27/2020 7:28:14,TSCHAFFER,ROLO101520010826,Redesign / Design related,NEED BETTER CONTOUR & ANATOMY,POST CAM
3/27/2020 8:02:07,TSCHAFFER,ROLO101520005758,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/27/2020 8:03:42,TSCHAFFER,ROLO101520010948,BROKEN / CHIPPED / CRACKED,CHIPPED,POST CAM
3/27/2020 8:24:30,DLOPEZ,ROLO101520010481,OTHER,OPRQUE,POST CAM
3/27/2020 8:47:29,TSCHAFFER,ROLO101520010886,SHADE / MATERIAL INCORRECT or CHANGED,TOO OPAQUE,POST CAM
3/28/2020 9:00:17,jsmolen,ROLO101520009404,"FIT -- tight, loose, rocks, etc., etc., ...",pooor fit,POST CAM
3/28/2020 9:14:56,jsmolen,ROLO101520010886,OTHER,opaque,POST CAM
3/28/2020 9:50:45,jsmolen,SARA101520010971,OTHER,opaque,POST CAM
3/28/2020 10:53:52,jsmolen,SARA101520010971,BROKEN / CHIPPED / CRACKED,puck broke in mill,IN CAM
